,Title,Content,Pictures
0,"Petrol price crosses ₹90-mark, diesel at ₹80.60 per litre in Delhi","Petrol and diesel prices went up for the 11th consecutive day in Delhi and stood at ₹90.19 and ₹80.60 per litre, respectively on Friday. The price of petrol was increased by 31 paise per litre while that of diesel by 33 paise per litre. Notably, petrol price on Thursday crossed the ₹100/litre mark in Rajasthan and Madhya Pradesh.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2021/02_feb/19_fri/img_1613710435702_143.jpg
1,COVID-19 will now be treated with Coronil tablet: Patanjali,"Baba Ramdev on Friday released a scientific research paper on the first evidence-based medicine for COVID-19 by Patanjali. ""COVID-19 will now be treated with Patanjali's Coronil tablet. The Ministry of AYUSH has accepted Coronil as a corona medicine,"" Patanjali Ayurved tweeted. ""Coronil of Patanjali Research Institute is certified by the World Health Organization (WHO),"" it added.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2021/02_feb/19_fri/img_1613713675518_529.jpg
2,"India reports 13,193 new COVID-19 cases, 97 deaths in last 24 hrs","India reported 13,193 new COVID-19 cases and 97 deaths in the last 24 hours, as per the Ministry of Health and Family Welfare. India's total COVID-19 tally reached 1,09,63,394 and the death count stood at 1,56,111. Following 10,896 discharges of COVID-19 patients in the last 24 hours, the number of active cases stood at 1,39,542.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2021/02_feb/19_fri/img_1613713600160_656.jpg
3,"England cricketer trolls IPL auction with girlfriend reference, ICC responds","England wicketkeeper-batsman Sam Billings trolled IPL 2021 auction after several fast bowlers were sold for higher prices. ""My girlfriend Sarah just turns to me and goes...'Why aren’t you a bowler?'"" tweeted Billings, who was bought by DC after going unsold in the first round. The ICC responded to Billings and tweeted his bowling statistics, writing, ""The only way is up.""",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2021/02_feb/19_fri/img_1613710054744_471.jpg
4,Nobody can take this achievement away from you: Sara Tendulkar on Arjun's IPL contract,"After all-rounder Arjun Tendulkar was bought by Mumbai Indians for ₹20 lakh, his sister Sara Tendulkar took to Instagram to react to it. ""Nobody can take this achievement away from you. It is yours,"" she wrote on Instagram Stories. This comes after several users on social media called Arjun's signing an example of nepotism. ",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2021/02_feb/19_fri/img_1613711027971_657.jpg
5,Elon Musk reclaims title of world's richest person,"Tesla CEO Elon Musk has reclaimed the title of world's richest person with a net worth of $199.9 billion after SpaceX completed another funding round, according to Bloomberg. SpaceX raised another $850 million this month from a group of investors led by Sequoia Capital. He surpassed Jeff Bezos, who briefly reclaimed the title this week after Tesla shares fell.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2021/02_feb/19_fri/img_1613712354445_621.jpg
6,More than 1 crore people vaccinated against coronavirus in India,"A total of 1,01,88,007 people have been vaccinated against coronavirus in India, the Ministry of Health and Family Welfare said on Friday. As many as 6,58,674 people were vaccinated in India in the last 24 hours. India's coronavirus vaccination drive, which is the world's largest vaccination programme, had started on January 16.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2021/02_feb/19_fri/img_1613712428940_161.jpg
7,Rahul Gandhi gives shoulder to mortal remains of Congress' Capt Satish Sharma,"Congress leader Rahul Gandhi gave shoulder to the mortal remains of veteran party leader and former Union Minister Captain Satish Sharma during his last rites in Delhi on Friday. The 73-year-old, who had been a six-time Member of Parliament, passed away on February 17 in Goa. ""His contributions towards the service of our people will always be remembered,"" Congress said.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2021/02_feb/19_fri/img_1613712502919_731.jpg
8,Video shows policeman kissing woman instead of fining her in Peru; suspended,A police officer has been suspended in Peru after he was caught on camera kissing a woman he was going to fine for breaching COVID-19 curfew. The woman appeared to persuade him to swap the fine for a kiss in the video. The decision to suspend him was taken by the mayor of Miraflores district in the Peruvian capital Lima.,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2021/02_feb/19_fri/img_1613709369989_261.jpg
9,"World's 1st Bitcoin ETF debuts in Canada, investors trade $165 mn shares","Investors exchanged $165 million worth of shares as the world's first Bitcoin exchange-traded fund, Purpose Bitcoin ETF, made its debut on Thursday in Toronto. The ETF, which directly invests in physical or digital Bitcoin, was approved by the Canadian regulator last week, Purpose Investments said. Bitcoin, the world's largest cryptocurrency, hit a fresh record high of over $52,000 on Wednesday.",https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2021/02_feb/19_fri/img_1613707744599_636.jpg
